 TESTING TRANSACCU TYPE 362541
 Hirata Reference =    7.568472     seconds
 Algorithm         Jeff           Speedup          Best
     445 Loop 453126      8.19238     0.92384     2.79199     2.71078
     446 Loop 463125      8.60449     0.87960     2.79199     2.71078
     447 Loop 543126      8.23633     0.91891     2.79199     2.71078
     448 Loop 643125      8.70020     0.86992     2.79199     2.71078
     449 Loop 563124      8.63623     0.87636     2.79199     2.71078
     450 Loop 653124      8.59277     0.88080     2.79199     2.71078
     451 Loop 456123     12.67676     0.59704     2.79199     2.71078
     452 Loop 465123     12.77246     0.59256     2.79199     2.71078
     453 Loop 546123     12.68066     0.59685     2.79199     2.71078
     454 Loop 645123     12.66064     0.59780     2.79199     2.71078
