 TESTING TRANPOSE TYPE 326514
 Hirata Reference =    2.948184     seconds
 Algorithm         Jeff           Speedup          Best
     440 Loop 436125      6.16431     0.47827     0.87207     3.38067
     441 Loop 534126      2.30823     1.27725     0.87207     3.38067
     442 Loop 634125      3.94031     0.74821     0.87207     3.38067
     443 Loop 536124      1.34009     2.19999     0.87207     3.38067
     444 Loop 635124      3.69226     0.79848     0.87207     3.38067
     445 Loop 453126      6.44849     0.45719     0.87207     3.38067
     446 Loop 463125      7.92041     0.37223     0.87207     3.38067
     447 Loop 543126      3.09216     0.95344     0.87207     3.38067
     448 Loop 643125      5.90442     0.49932     0.87207     3.38067
     449 Loop 563124      2.12415     1.38794     0.87207     3.38067
     450 Loop 653124      3.69226     0.79848     0.87207     3.38067
     451 Loop 456123      6.10034     0.48328     0.87207     3.38067
     452 Loop 465123      7.62854     0.38647     0.87207     3.38067
     453 Loop 546123      2.85620     1.03220     0.87207     3.38067
     454 Loop 645123      5.77637     0.51039     0.87207     3.38067
