jeff@goldstone:~/code/spaghetty/trunk/python/archive/exe> transpose_632541.x
 TESTING TRANPOSE TYPE 632541
 Hirata Reference =    2.248140     seconds
 Algorithm         Jeff           Speedup          Best
     336 Loop 146532      5.27234     0.42640     0.93604     2.40177
     337 Loop 256413      1.31213     1.71335     0.93604     2.40177
     338 Loop 256143      1.49207     1.50673     0.93604     2.40177
     339 Loop 246513      1.28406     1.75081     0.93604     2.40177
     340 Loop 216543      1.76013     1.27726     0.93604     2.40177
     341 Loop 246153      1.35608     1.65782     0.93604     2.40177
     342 Loop 216453      1.80005     1.24893     0.93604     2.40177
     343 Loop 526413      1.48010     1.51891     0.93604     2.40177
     344 Loop 526143      1.65613     1.35747     0.93604     2.40177
     345 Loop 426513      1.40808     1.59660     0.93604     2.40177
     346 Loop 126543      5.41638     0.41506     0.93604     2.40177
     347 Loop 426153      1.49609     1.50267     0.93604     2.40177
     348 Loop 126453      5.36426     0.41910     0.93604     2.40177
     349 Loop 546213      1.77612     1.26576     0.93604     2.40177
     350 Loop 516243      2.10010     1.07049     0.93604     2.40177
     351 Loop 456213      1.70410     1.31925     0.93604     2.40177
     352 Loop 156243      5.48438     0.40992     0.93604     2.40177
     353 Loop 416253      2.08813     1.07663     0.93604     2.40177
     354 Loop 146253      5.41638     0.41506     0.93604     2.40177
     355 Loop 546123      2.28821     0.98249     0.93604     2.40177
     356 Loop 516423      2.50012     0.89921     0.93604     2.40177
     357 Loop 456123      2.26819     0.99116     0.93604     2.40177
     358 Loop 156423      5.38843     0.41722     0.93604     2.40177
     359 Loop 416523      2.48413     0.90500     0.93604     2.40177
     360 Loop 146523      5.35242     0.42002     0.93604     2.40177
     361 Loop 325641      0.91211     2.46477     0.91211     2.46477
     362 Loop 325614      1.27209     1.76727     0.91211     2.46477
     363 Loop 324651      0.87610     2.56608     0.87610     2.56608
     364 Loop 321654      1.46411     1.53550     0.87610     2.56608
     365 Loop 324615      1.15613     1.94454     0.87610     2.56608
     366 Loop 321645      1.34802     1.66773     0.87610     2.56608
     367 Loop 352641      0.96802     2.32242     0.87610     2.56608
     368 Loop 352614      1.30811     1.71862     0.87610     2.56608
     369 Loop 342651      0.89612     2.50875     0.87610     2.56608
     370 Loop 312654      1.80420     1.24606     0.87610     2.56608
     371 Loop 342615      1.18005     1.90512     0.87610     2.56608
     372 Loop 312645      1.52417     1.47499     0.87610     2.56608
     373 Loop 354621      0.96802     2.32242     0.87610     2.56608
     374 Loop 351624      1.62012     1.38764     0.87610     2.56608
     375 Loop 345621      0.98401     2.28467     0.87610     2.56608
     376 Loop 315624      1.95203     1.15170     0.87610     2.56608
     377 Loop 341625      1.54407     1.45599     0.87610     2.56608
     378 Loop 314625      1.74011     1.29195     0.87610     2.56608
     379 Loop 354612      1.30408     1.72393     0.87610     2.56608
     380 Loop 351642      1.44006     1.56114     0.87610     2.56608
     381 Loop 345612      1.26416     1.77837     0.87610     2.56608
     382 Loop 315642      1.67212     1.34449     0.87610     2.56608
     383 Loop 341652      1.48804     1.51081     0.87610     2.56608
     384 Loop 314652      1.62805     1.38088     0.87610     2.56608
     385 Loop 235641      0.89612     2.50875     0.87610     2.56608
     386 Loop 235614      1.28809     1.74533     0.87610     2.56608
     387 Loop 234651      0.85596     2.62646     0.85596     2.62646
     388 Loop 231654      1.43201     1.56992     0.85596     2.62646
     389 Loop 234615      1.13611     1.97881     0.85596     2.62646
     390 Loop 231645      1.31201     1.71351     0.85596     2.62646
     391 Loop 532641      1.07202     2.09710     0.85596     2.62646
     392 Loop 532614      1.48010     1.51891     0.85596     2.62646
     393 Loop 432651      1.44800     1.55259     0.85596     2.62646
     394 Loop 132654      5.91235     0.38024     0.85596     2.62646
     395 Loop 432615      1.35608     1.65782     0.85596     2.62646
     396 Loop 132645      5.06030     0.44427     0.85596     2.62646
     397 Loop 534621      1.04810     2.14498     0.85596     2.62646
     398 Loop 531624      1.78015     1.26289     0.85596     2.62646
     399 Loop 435621      1.24805     1.80133     0.85596     2.62646
     400 Loop 135624      5.94031     0.37846     0.85596     2.62646
     401 Loop 431625      1.65613     1.35747     0.85596     2.62646
     402 Loop 134625      4.93628     0.45543     0.85596     2.62646
     403 Loop 534612      1.37207     1.63850     0.85596     2.62646
     404 Loop 531642      1.55200     1.44854     0.85596     2.62646
     405 Loop 435612      1.39600     1.61042     0.85596     2.62646
     406 Loop 135642      5.97229     0.37643     0.85596     2.62646
     407 Loop 431652      1.69604     1.32552     0.85596     2.62646
     408 Loop 134652      5.41638     0.41506     0.85596     2.62646
     409 Loop 253641      0.93604     2.40177     0.85596     2.62646
     410 Loop 253614      1.30005     1.72927     0.85596     2.62646
     411 Loop 243651      0.90405     2.48674     0.85596     2.62646
     412 Loop 213654      1.83203     1.22713     0.85596     2.62646
     413 Loop 243615      1.23999     1.81303     0.85596     2.62646
     414 Loop 213645      1.53601     1.46362     0.85596     2.62646
     415 Loop 523641      1.09607     2.05109     0.85596     2.62646
     416 Loop 523614      1.48413     1.51479     0.85596     2.62646
     417 Loop 423651      1.42017     1.58301     0.85596     2.62646
     418 Loop 123654      5.90430     0.38076     0.85596     2.62646
     419 Loop 423615      1.38000     1.62908     0.85596     2.62646
     420 Loop 123645      5.20825     0.43165     0.85596     2.62646
     421 Loop 543621      1.08008     2.08146     0.85596     2.62646
     422 Loop 513624      2.63611     0.85283     0.85596     2.62646
     423 Loop 453621      1.30005     1.72927     0.85596     2.62646
     424 Loop 153624      6.58044     0.34164     0.85596     2.62646
     425 Loop 413625      2.05615     1.09337     0.85596     2.62646
     426 Loop 143625      5.08435     0.44217     0.85596     2.62646
     427 Loop 543612      1.42810     1.57422     0.85596     2.62646
     428 Loop 513642      1.97607     1.13768     0.85596     2.62646
     429 Loop 453612      1.41211     1.59204     0.85596     2.62646
     430 Loop 153642      6.02441     0.37317     0.85596     2.62646
     431 Loop 413652      1.90015     1.18314     0.85596     2.62646
     432 Loop 143652      5.32422     0.42225     0.85596     2.62646
     433 Loop 254631      0.94006     2.39148     0.85596     2.62646
     434 Loop 251634      1.58411     1.41919     0.85596     2.62646
     435 Loop 245631      0.95605     2.35148     0.85596     2.62646
     436 Loop 215634      1.95215     1.15162     0.85596     2.62646
     437 Loop 241635      1.65601     1.35757     0.85596     2.62646
     438 Loop 214635      1.81604     1.23794     0.85596     2.62646
     439 Loop 524631      1.08813     2.06605     0.85596     2.62646
     440 Loop 521634      1.71216     1.31304     0.85596     2.62646
     441 Loop 425631      1.24805     1.80133     0.85596     2.62646
     442 Loop 125634      5.92432     0.37948     0.85596     2.62646
     443 Loop 421635      1.70410     1.31925     0.85596     2.62646
     444 Loop 124635      4.96423     0.45287     0.85596     2.62646
     445 Loop 542631      1.03198     2.17847     0.85596     2.62646
     446 Loop 512634      2.56018     0.87812     0.85596     2.62646
